"","School","Address","City","Zip","AddressFull","Public","County","Dist","Name","Color1","Color2","Color3","Enrollment","Conf","Mascot","Enr_Class","lon","lat"
"1023","MIAMI VALLEY CHRISTIAN ACADEMY","6830 SCHOOL ST","CINCINNATI","45244","6830 SCHOOL ST, CINCINNATI, OH 45244","PRIVATE","Hamilton","Southwest","CIN. MIAMI VALLEY CHRISTIAN ACAD.","PURPLE","SILVER",NA,42,"Miami Valley Conference","LIONS","(A)",-84.360942,39.128773
"1026","MIDDLETOWN","601 N BREIEL BLVD","MIDDLETOWN","45042-3801","601 N BREIEL BLVD, MIDDLETOWN, OH 45042-3801","PUBLIC","Butler","Southwest","MIDDLETOWN","PURPLE","WHITE",NA,626,"Greater Miami Conference","MIDDIES","(AAA)",-84.3501005,39.5220611
"1027","MIDDLETOWN CHRISTIAN","3011 N UNION ROAD","FRANKLIN","45005","3011 N UNION ROAD, FRANKLIN, OH 45005","PRIVATE","Warren","Southwest","MIDDLETOWN CHRISTIAN","ROYAL BLUE","WHITE",NA,50,"Metro Buckeye Conference","EAGLES","(A)",-84.3180626,39.48754
"1028","Midpark (Consolidate w/ Berea High School 2013-14)","7000 PAULA DR","MIDDLEBURG HGTS","44130-3561","7000 PAULA DR, MIDDLEBURG HGTS, OH 44130-3561","PUBLIC","Cuyahoga","Northeast","","ORANGE","BROWN",NA,NA,"","METEORS",NA,-81.8048339,41.3778995
"1030","MIDVIEW","38199 CAPEL ROAD","GRAFTON","44044-1137","38199 CAPEL ROAD, GRAFTON, OH 44044-1137","PUBLIC","Lorain","Northeast","GRAFTON MIDVIEW","BLUE","SILVER",NA,436,"","Middies","(AAA)",-82.0635244,41.3024908
"1032","MIFFLIN","3245 OAK SPRING ST","COLUMBUS","43219-3067","3245 OAK SPRING ST, COLUMBUS, OH 43219-3067","PUBLIC","Franklin","Central","COLS. MIFFLIN","BLUE","WHITE",NA,492,"Columbus City League","PUNCHERS","(AAA)",-82.9237679,40.039168
"1034","MILFORD","ONE EAGLES WAY","MILFORD","45150-2346","ONE EAGLES WAY, MILFORD, OH 45150-2346","PUBLIC","Clermont","Southwest","MILFORD","RED","WHITE","BLACK",810,"Eastern Cincinnati Conference","EAGLES","(AAA)",-84.2413541,39.1802297
"1036","MILLER","10397 STATE ROUTE 155 SE","CORNING","43730-9710","10397 STATE ROUTE 155 SE, CORNING, OH 43730-9710","PUBLIC","Perry","Southeast","CORNING MILLER","PURPLE","BLACK","WHITE",82,"","FALCONS","(A)",-82.2174019,39.6203229
"1040","MILLERSPORT","11850 LANCASTER ST","MILLERSPORT","43046-0278","11850 LANCASTER ST, MILLERSPORT, OH 43046-0278","PUBLIC","Fairfield","Central","MILLERSPORT","PURPLE","GOLD",NA,74,"Mid-State League","LAKERS","(A)",-82.5326322,39.8944865
"1042","MILTON-UNION","7640 Milton-Potsdam Road","WEST MILTON","45383-1505","7640 Milton-Potsdam Road, WEST MILTON, OH 45383-1505","PUBLIC","Miami","Southwest","WEST MILTON MILTON-UNION","RED","BLACK","WHITE",193,"Southwestern Buckeye League","BULLDOGS","(AA)",-84.3448098,39.9629649
"1044","MINERAL RIDGE","1334 SEABORN ST","MINERAL RIDGE","44440-9541","1334 SEABORN ST, MINERAL RIDGE, OH 44440-9541","PUBLIC","Trumbull","Northeast","MINERAL RIDGE","ORANGE","BLACK",NA,116,"Mahoning Valley Athletic Conference","RAMS","(A)",-80.7718405,41.1447378
"1046","MINERVA","501 ALMEDA AVE","MINERVA","44657-2020","501 ALMEDA AVE, MINERVA, OH 44657-2020","PUBLIC","Stark","East","MINERVA","CRIMSON","GRAY",NA,234,"Northeastern Buckeye Conference","LIONS","(AAA)",-81.0970116,40.7355819
"1048","MINFORD","491 Bond Rd","MINFORD","45653-0204","491 Bond Rd, MINFORD, OH 45653-0204","PUBLIC","Scioto","Southeast","MINFORD","RED","GRAY","WHITE",152,"","FALCONS","(AA)",-82.8525,38.8604
"105","AFRICENTRIC EARLY COLLEGE","3223 Allegheny Ave","COLUMBUS","43209","3223 Allegheny Ave, COLUMBUS, OH 43209","PUBLIC","Franklin","Central","COLS. AFRICENTRIC","PURPLE","BLACK",NA,122,"Columbus City League","NUBIANS","(A)",-82.9160344,39.9793414
"1052","MINSTER","100 EAST 7TH STREET","MINSTER","45865-9801","100 EAST 7TH STREET, MINSTER, OH 45865-9801","PUBLIC","Auglaize","Northwest","MINSTER","ORANGE","BLACK",NA,97,"Midwest Athletic Conference","WILDCATS","(AA)",-84.3796742,40.4019717
"1054","MISSISSINAWA VALLEY","10480 STAUDT ROAD","UNION CITY","45390-8648","10480 STAUDT ROAD, UNION CITY, OH 45390-8648","PUBLIC","Darke","Southwest","UNION CITY MISSISSINAWA VALLEY","BLACK","white","red",83,"Cross County Conference","BLACKHAWKS","(A)",-84.7468401,40.2218051
"1056","ARCHBISHOP MOELLER","9001 MONTGOMERY ROAD","CINCINNATI","45242-7711","9001 MONTGOMERY ROAD, CINCINNATI, OH 45242-7711","PRIVATE","Hamilton","Southwest","CIN. ARCHBISHOP MOELLER","BLUE","GOLD",NA,664,"Greater Catholic League","FIGHTING CRUSADERS","(AAA)",-84.358654,39.220108
"1058","MOGADORE","130 S CLEVELAND AVE","MOGADORE","44260-1443","130 S CLEVELAND AVE, MOGADORE, OH 44260-1443","PUBLIC","Summit","Northeast","MOGADORE","GREEN","WHITE",NA,118,"","WILDCATS","(A)",-81.394776,41.0478227
"106","AIKEN","5641 Belmont Avenue","CINCINNATI","45224","5641 Belmont Avenue, CINCINNATI, OH 45224","PUBLIC","Hamilton","Southwest","CIN. AIKEN","PURPLE","WHITE",NA,205,"","FALCONS","(AA)",-84.5507779,39.1922148
"1060","MOHAWK","605 State Highway 231","Sycamore","44882-9434","605 State Highway 231, Sycamore, OH 44882-9434","PUBLIC","Wyandot","Northwest","SYCAMORE MOHAWK","RED","BLACK","WHITE",106,"Northern 10 Conference","WARRIORS","(AA)",-83.1679839,40.9850389
"1062","MONROE","220 YANKEE ROAD","MONROE","45050","220 YANKEE ROAD, MONROE, OH 45050","PUBLIC","Butler","Southwest","MONROE","BLUE","GOLD",NA,291,"Southwestern Buckeye League","FIGHTING HORNETS","(AA)",-84.3887543,39.4489539
"1063","MONROE CENTRAL","469 Lewisville Road","WOODSFIELD","43793-9438","469 Lewisville Road, WOODSFIELD, OH 43793-9438","PUBLIC","Monroe","East","WOODSFIELD MONROE CENTRAL","RED","GOLD","BLACK",93,"","SEMINOLES","(A)",-81.129893,39.7625863
"1064","MONROEVILLE","101 WEST STREET","MONROEVILLE","44847-9797","101 WEST STREET, MONROEVILLE, OH 44847-9797","PUBLIC","Huron","Northwest","MONROEVILLE","BLACK","GOLD",NA,79,"Licking County League","EAGLES","(A)",-82.7026757,41.2479821
"1066","MONTPELIER","1015 E BROWN RD","MONTPELIER","43543-0193","1015 E BROWN RD, MONTPELIER, OH 43543-0193","PUBLIC","Williams","Northwest","MONTPELIER","COLUMBIA BLUE","WHITE",NA,119,"Buckeye Border Conference","LOCOMOTIVES","(AA)",-84.5963699,41.573836
"1068","MORGAN","800 S RAIDER DR","MC CONNELSVILLE","43756-9299","800 S RAIDER DR, MC CONNELSVILLE, OH 43756-9299","PUBLIC","Morgan","East","MCCONNELSVILLE MORGAN","NAVY","GRAY","RED",218,"Muskingum Valley League","RAIDERS","(AA)",-81.8184708,39.6119187
"1072","MOUNT GILEAD","338 W PARK AVE","MOUNT GILEAD","43338-1140","338 W PARK AVE, MOUNT GILEAD, OH 43338-1140","PUBLIC","Morrow","Central","MOUNT GILEAD","PURPLE","WHITE",NA,152,"Knox Morrow Athletic Conference","INDIANS","(A)",-82.8325913,40.5557692
"1074","MOUNT HEALTHY","8101 Hamilton Ave","CINCINNATI","45231","8101 Hamilton Ave, CINCINNATI, OH 45231","PUBLIC","Hamilton","Southwest","CIN. MOUNT HEALTHY","RED","BLACK",NA,365,"","FIGHTING OWLS","(AAA)",-84.5523815,39.2409872
"1078","MOUNT VERNON","300 MARTINSBURG ROAD","MOUNT VERNON","43050-4246","300 MARTINSBURG ROAD, MOUNT VERNON, OH 43050-4246","PUBLIC","Knox","Central","MOUNT VERNON","ORANGE","BLACK",NA,507,"","YELLOW JACKETS","(AAA)",-82.4744296,40.3783263
"108","ALEXANDER","6125 School Rd","Albany","45710-9492","6125 School Rd, Albany, OH 45710-9492","PUBLIC","Athens","Southeast","ALBANY ALEXANDER","RED","BLACK","WHITE",204,"","SPARTANS","(AAA)",-82.2031908,39.2251292
"1080","NAPOLEON","701 BRIARHEATH DR","NAPOLEON","43545-1297","701 BRIARHEATH DR, NAPOLEON, OH 43545-1297","PUBLIC","Henry","Northwest","NAPOLEON","NAVY","WHITE",NA,259,"Northern Lakes League","WILDCATS","(AAA)",-84.1474551,41.390461
"1082","NATIONAL TRAIL","6940 OXFORD GETTYSBURG RD","NEW PARIS","45347-9804","6940 OXFORD GETTYSBURG RD, NEW PARIS, OH 45347-9804","PUBLIC","Preble","Southwest","NEW PARIS NATIONAL TRAIL","ORANGE","BROWN",NA,142,"Cross County Conference","BLAZERS","(A)",-84.720742,39.837677
"1084","NELSONVILLE-YORK","1 BUCKEYE DRIVE","NELSONVILLE","45764-9801","1 BUCKEYE DRIVE, NELSONVILLE, OH 45764-9801","PUBLIC","Athens","Southeast","NELSONVILLE-YORK","BROWN","ORANGE","WHITE",135,"Tri-Valley Conference","BUCKEYES","(AA)",-82.1885274,39.4625542
"1086","NEW ALBANY","7600 FODOR ROAD","NEW ALBANY","43054-8738","7600 FODOR ROAD, NEW ALBANY, OH 43054-8738","PUBLIC","Franklin","Central","NEW ALBANY","MAROON","VEGAS GOLD",NA,578,"","EAGLES","(AAA)",-82.8159389,40.0841843
"1088","NEWARK","314 Granville St.","Newark","43055-4615","314 Granville St., Newark, OH 43055-4615","PUBLIC","Licking","Central","NEWARK","CRIMSON","WHITE",NA,659,"","WILDCATS","(AAA)",-82.4183278,40.0623795
"1090","NEWARK CATHOLIC","1 GREEN WAVE DRIVE","NEWARK","43055-2505","1 GREEN WAVE DRIVE, NEWARK, OH 43055-2505","PRIVATE","Licking","Central","NEWARK CATH.","GREEN","WHITE",NA,113,"Licking County League","GREEN WAVE","(A)",-82.4333286,40.0541425
"1092","NEW BREMEN","901 E. MONROE STREET","NEW BREMEN","45869-1241","901 E. MONROE STREET, NEW BREMEN, OH 45869-1241","PUBLIC","Auglaize","Northwest","NEW BREMEN","CRIMSON","GOLD",NA,90,"Midwest Athletic Conference","CARDINALS","(A)",-84.3671908,40.4369309
"1094","NEWBURY","14775 AUBURN RD","NEWBURY","44065-9702","14775 AUBURN RD, NEWBURY, OH 44065-9702","PUBLIC","Geauga","Northeast","NEWBURY","BLACK","ORANGE",NA,63,"","BLACK KNIGHTS","(A)",-81.2435206,41.4663316
"1096","NEWCOMERSTOWN","659 S BEAVER ST","NEWCOMERSTOWN","43832-1403","659 S BEAVER ST, NEWCOMERSTOWN, OH 43832-1403","PUBLIC","Tuscarawas","East","NEWCOMERSTOWN","ORANGE","BLACK",NA,123,"Inter-Valley Conference","TROJANS","(A)",-81.6118336,40.265961
"110","ALLEN EAST","9105 Harding Hwy.","Harrod","45850","9105 Harding Hwy., Harrod, OH 45850","PUBLIC","Allen","Northwest","HARROD ALLEN EAST","ROYAL BLUE","WHITE",NA,122,"","MUSTANGS","(AA)",-83.931273,40.733796
"1100","NEW LEXINGTON","2547 PANTHER DR","NEW LEXINGTON","43764-9802","2547 PANTHER DR, NEW LEXINGTON, OH 43764-9802","PUBLIC","Perry","Southeast","NEW LEXINGTON","ORANGE","BLACK",NA,231,"Muskingum Valley League","PANTHERS","(AAA)",-82.211477,39.7290949
"1102","NEW LONDON","1 WILDCAT DRIVE","NEW LONDON","44851-1126","1 WILDCAT DRIVE, NEW LONDON, OH 44851-1126","PUBLIC","Huron","Northwest","NEW LONDON","RED","BLACK",NA,138,"Firelands Conference","WILDCATS","(AA)",-82.391417,41.075255
"1104","NEW MIAMI","600 Seven Mile Avenue","Hamilton","45011-5748","600 Seven Mile Avenue, Hamilton, OH 45011-5748","PUBLIC","Butler","Southwest","HAMILTON NEW MIAMI","GREEN","WHITE",NA,81,"Miami Valley Conference","VIKINGS","(A)",-84.5367106,39.4393301
"1106","NEW PHILADELPHIA","343 RAY AVE NW","N PHILADELPHIA","44663-1950","343 RAY AVE NW, N PHILADELPHIA, OH 44663-1950","PUBLIC","Tuscarawas","East","NEW PHILADELPHIA","RED","BLACK",NA,359,"East Central Ohio League","QUAKERS","(AAA)",-81.4503866,40.4945422
"1108","NEW RICHMOND","1131 BETHEL-NEW RICHMOND RD","NEW RICHMOND","45157-9510","1131 BETHEL-NEW RICHMOND RD, NEW RICHMOND, OH 45157-9510","PUBLIC","Clermont","Southwest","NEW RICHMOND","RED","BLACK",NA,287,"","LIONS","(AA)",-84.269377,38.954386
"1112","NEWTON FALLS","907 MILTON BLVD","NEWTON FALLS","44444-1319","907 MILTON BLVD, NEWTON FALLS, OH 44444-1319","PUBLIC","Trumbull","Northeast","NEWTON FALLS","ORANGE","BLACK",NA,154,"All-American Conference","TIGERS","(A)",-80.9686614,41.1829972
"1116","NORDONIA","8006 S BEDFORD RD","MACEDONIA","44056-2025","8006 S BEDFORD RD, MACEDONIA, OH 44056-2025","PUBLIC","Summit","Northeast","MACEDONIA NORDONIA","GREEN","WHITE",NA,449,"Suburban League","KNIGHTS","(AAA)",-81.511077,41.3026258
"1118","NORMANDY","2500 W PLEASANT VALLEY RD","PARMA","44134-6521","2500 W PLEASANT VALLEY RD, PARMA, OH 44134-6521","PUBLIC","Cuyahoga","Northeast","PARMA NORMANDY","ORANGE","BLACK","WHITE",418,"","INVADERS","(AAA)",-81.6981275,41.36215
"112","ALLIANCE","400 GLAMORGAN ST","ALLIANCE","44601-2810","400 GLAMORGAN ST, ALLIANCE, OH 44601-2810","PUBLIC","Stark","Northeast","ALLIANCE","RED","COLUMBIA BLUE",NA,333,"Northeastern Buckeye Conference","AVIATORS","(AA)",-81.1115052,40.9111438
"1120","NORTH","985 GORGE BLVD","AKRON","44310-2489","985 GORGE BLVD, AKRON, OH 44310-2489","PUBLIC","Summit","Northeast","AKRON NORTH","BLACK","GOLD",NA,375,"Akron City Series","VIKINGS","(AAA)",-81.49742,41.103825
"1122","NORTH","34041 STEVENS BLVD","EASTLAKE","44095-5105","34041 STEVENS BLVD, EASTLAKE, OH 44095-5105","PUBLIC","Lake","Northeast","EASTLAKE NORTH","ORANGE","BLACK",NA,500,"","RANGERS","(AAA)",-81.4448939,41.6511451
"1130","NORTH BALTIMORE","2012 Tiger Drive","NORTH BALTIMORE","45872-1301","2012 Tiger Drive, NORTH BALTIMORE, OH 45872-1301","PUBLIC","Wood","Northwest","NORTH BALTIMORE","ORANGE","BLACK",NA,83,"Blanchard Valley Conference","TIGERS","(A)",-83.6640228,41.1867135
"1134","NORTH COLLEGE HILL","1620 W GALBRAITH RD","CINCINNATI","45239-4810","1620 W GALBRAITH RD, CINCINNATI, OH 45239-4810","PUBLIC","Hamilton","Southwest","CIN. NORTH COLLEGE HILL","SCARLET","GOLD",NA,177,"Miami Valley Conference","TROJANS","(AA)",-84.5506179,39.2196215
"1136","NORTHEASTERN","1480 BOWMAN RD","SPRINGFIELD","45502-8805","1480 BOWMAN RD, SPRINGFIELD, OH 45502-8805","PUBLIC","Clark","Southwest","SPRINGFIELD NORTHEASTERN","CARDINAL","GOLD",NA,146,"Ohio Heritage Conference","JETS","(A)",-83.680511,39.940336
"114","AMANDA-CLEARCREEK","328 E. MAIN STREET","AMANDA","43102-9773","328 E. MAIN STREET, AMANDA, OH 43102-9773","PUBLIC","Fairfield","Central","AMANDA-CLEARCREEK","BLACK","ORANGE","WHITE",206,"Mid-State League","ACES","(AA)",-82.7383423,39.6490756
"1140","NORTHLAND","1919 NORTHCLIFF DR","COLUMBUS","43229-5332","1919 NORTHCLIFF DR, COLUMBUS, OH 43229-5332","PUBLIC","Franklin","Central","COLS. NORTHLAND","GREEN","GOLD",NA,479,"Firelands Conference","VIKINGS","(AAA)",-82.9662631,40.0714366
"1142","NORTHMONT","4916 NATIONAL RD","CLAYTON","45315-9714","4916 NATIONAL RD, CLAYTON, OH 45315-9714","PUBLIC","Montgomery","Southwest","CLAYTON NORTHMONT","GREEN","WHITE",NA,659,"Greater Western Ohio Conference","THUNDERBOLTS","(AAA)",-84.3470968,39.8717705
"1144","NORTHMOR","7819 State Route 19","GALION","44833-9655","7819 State Route 19, GALION, OH 44833-9655","PUBLIC","Morrow","Central","GALION NORTHMOR","BLACK","GOLD","WHITE",148,"Southwestern Buckeye League","GOLDEN KNIGHTS","(A)",-82.7657668,40.6426091
"1146","NORTH OLMSTED","27301 Butternut Ridge Road","NORTH OLMSTED","44070-4929","27301 Butternut Ridge Road, NORTH OLMSTED, OH 44070-4929","PUBLIC","Cuyahoga","Northeast","NORTH OLMSTED","ORANGE","BLACK",NA,479,"Southwestern Conference","EAGLES","(AAA)",-81.9249251,41.4118258
"1148","NORTHRIDGE","2251 TIMBER LANE","DAYTON","45414-4532","2251 TIMBER LANE, DAYTON, OH 45414-4532","PUBLIC","Montgomery","Southwest","DAY. NORTHRIDGE","SCARLET","GRAY",NA,201,"Southwestern Buckeye League","POLAR BEARS","(AA)",-84.1921719,39.8151699
"1150","NORTHRIDGE","6066 JOHNSTOWN-UTICA RD N","JOHNSTOWN","43031-9408","6066 JOHNSTOWN-UTICA RD N, JOHNSTOWN, OH 43031-9408","PUBLIC","Licking","Central","JOHNSTOWN NORTHRIDGE","GREEN","WHITE",NA,173,"Licking County League","VIKINGS","(AA)",-82.6091832,40.1889069
"1152","NORTH RIDGEVILLE","34600 BAINBRIDGE RD","N RIDGEVILLE","44039-4073","34600 BAINBRIDGE RD, N RIDGEVILLE, OH 44039-4073","PUBLIC","Lorain","Northeast","NORTH RIDGEVILLE","BLUE","GOLD",NA,537,"","RANGERS","(AAA)",-82.0017108,41.3881879
"1154","NORTH ROYALTON","14713 RIDGE RD","NORTH ROYALTON","44133-4930","14713 RIDGE RD, NORTH ROYALTON, OH 44133-4930","PUBLIC","Cuyahoga","Northeast","NORTH ROYALTON","PURPLE","GOLD",NA,593,"","BEARS","(AAA)",-81.7331318,41.309153
"1156","NORTH UNION","401 N FRANKLIN ST","RICHWOOD","43344-1032","401 N FRANKLIN ST, RICHWOOD, OH 43344-1032","PUBLIC","Union","Central","RICHWOOD NORTH UNION","ORANGE","BLACK",NA,186,"Mid-Ohio Athletic Conference","WILDCATS","(AA)",-83.298456,40.437286
"1158","NORTON","ONE PANTHER WAY","NORTON","44203-5601","ONE PANTHER WAY, NORTON, OH 44203-5601","PUBLIC","Summit","Northeast","NORTON","RED","BLACK","WHITE",301,"Portage Trail Conference","PANTHERS","(AA)",-81.6422241,41.0345909
"116","AMELIA","1351 CLOUGH PIKE","BATAVIA","45103-2503","1351 CLOUGH PIKE, BATAVIA, OH 45103-2503","PUBLIC","Clermont","Southwest","BATAVIA AMELIA","ROYAL BLUE","WHITE",NA,480,"","BARONS","(AAA)",-84.22981,39.0610523
"1160","NORWALK","350 SHADY LANE DRIVE","NORWALK","44857-1714","350 SHADY LANE DRIVE, NORWALK, OH 44857-1714","PUBLIC","Huron","Northwest","NORWALK","BLUE","GOLD",NA,328,"Sandusky Bay Conference","TRUCKERS","(AAA)",-82.6116602,41.2262535
"1162","NORTHWEST","8580 ERIE AVE N","CANAL FULTON","44614-9363","8580 ERIE AVE N, CANAL FULTON, OH 44614-9363","PUBLIC","Stark","Northeast","CANAL FULTON NORTHWEST","SCARLET","GRAY",NA,242,"Principals Athletic Conference","INDIANS","(AA)",-81.6157733,40.9084127
"1164","NORTHWEST","10761 PIPPIN ROAD","CINCINNATI","45231-1612","10761 PIPPIN ROAD, CINCINNATI, OH 45231-1612","PUBLIC","Hamilton","Southwest","CIN. NORTHWEST","BLUE","GOLD",NA,370,"","KNIGHTS","(AAA)",-84.5763635,39.271577
"1166","NORTHWEST","914 MOHAWK DR","MC DERMOTT","45652","914 MOHAWK DR, MC DERMOTT, OH 45652","PUBLIC","Scioto","Southeast","MCDERMOTT NORTHWEST","RED","BLUE","WHITE",180,"","MOHAWKS","(AA)",-83.0839,38.8792
"1168","NORTHWESTERN","5780 TROY ROAD","SPRINGFIELD","45502-9032","5780 TROY ROAD, SPRINGFIELD, OH 45502-9032","PUBLIC","Clark","Southwest","SPRINGFIELD NORTHWESTERN","RED","BLUE","WHITE",224,"Chagrin Valley Conference","WARRIORS","(AA)",-83.9127373,39.9888423
"1170","NORTHWESTERN","7473 N ELYRIA RD","WEST SALEM","44287-9707","7473 N ELYRIA RD, WEST SALEM, OH 44287-9707","PUBLIC","Wayne","Northeast","WEST SALEM NORTHWESTERN","BLUE","GRAY",NA,184,"Wayne County Athletic League","HUSKIES","(AA)",-82.1072591,40.8891034
"1172","NORTHWOOD","700 LEMOYNE RD","NORTHWOOD","43619-1814","700 LEMOYNE RD, NORTHWOOD, OH 43619-1814","PUBLIC","Wood","Northwest","NORTHWOOD","BLUE","GOLD",NA,139,"","RANGERS","(AA)",-83.4751908,41.604791
"1174","NORWAYNE","350 S MAIN ST","CRESTON","44217-9604","350 S MAIN ST, CRESTON, OH 44217-9604","PUBLIC","Wayne","Northeast","CRESTON NORWAYNE","SCARLET","GRAY",NA,153,"","BOBCATS","(A)",-81.9029819,40.965294
"1176","NORWOOD","2020 Sherman Ave","Norwood","45212-2616","2020 Sherman Ave, Norwood, OH 45212-2616","PUBLIC","Hamilton","Southwest","NORWOOD","NAVY","SCARLET",NA,239,"Miami Valley Conference","INDIANS","(AA)",-84.4594341,39.1614517
"1178","NOTRE DAME","2220 Sunrise Ave","Portsmouth","45662-2962","2220 Sunrise Ave, Portsmouth, OH 45662-2962","PRIVATE","Scioto","Southeast","PORTSMOUTH NOTRE DAME","BLUE","GOLD",NA,34,"","TItans","(A)",-82.9856872,38.7500817
"118","ANDERSON","7560 FOREST RD","CINCINNATI","45255-4307","7560 FOREST RD, CINCINNATI, OH 45255-4307","PUBLIC","Hamilton","Southwest","CIN. ANDERSON","ORANGE","BLACK",NA,516,"Eastern Cincinnati Conference","REDSKINS","(AAA)",-84.3474924,39.06943
"1180","NOTRE DAME-CATHEDRAL LATIN","13000 AUBURN RD","CHARDON","44024-9330","13000 AUBURN RD, CHARDON, OH 44024-9330","PRIVATE","Geauga","Northeast","CHARDON NOTRE DAME-CATHEDRAL LATIN","BLUE","GOLD",NA,246,"","LIONS","(AA)",-81.2433385,41.5175852
"1184","OAK HARBOR","11661 W STATE ROUTE 163","OAK HARBOR","43449-1278","11661 W STATE ROUTE 163, OAK HARBOR, OH 43449-1278","PUBLIC","Ottawa","Northwest","OAK HARBOR","RED","GREEN","WHITE",181,"","ROCKETS","(AA)",-83.156819,41.514689
"1186","OAK HILL","5063 STATE ROUTE 93","OAK HILL","45656-1068","5063 STATE ROUTE 93, OAK HILL, OH 45656-1068","PUBLIC","Jackson","Southeast","OAK HILL","BLACK","WHITE",NA,167,"Southern Ohio Conference","OAKS","(AA)",-82.5708446,38.9071002
"1188","OAK HILLS","3200 EBENEZER RD","CINCINNATI","45248-4038","3200 EBENEZER RD, CINCINNATI, OH 45248-4038","PUBLIC","Hamilton","Southwest","CIN. OAK HILLS","BLACK","RED",NA,883,"Greater Miami Conference","HIGHLANDERS","(AAA)",-84.6476092,39.1484624
"1190","OAKWOOD","1200 FAR HILLS AVE","DAYTON","45419-3118","1200 FAR HILLS AVE, DAYTON, OH 45419-3118","PUBLIC","Montgomery","Southwest","DAY. OAKWOOD","BLUE","GOLD",NA,274,"Southwestern Buckeye League","LUMBERJACKS","(AA)",-84.171457,39.7208543
"1192","OBERLIN","281 N PLEASANT ST","OBERLIN","44074-1124","281 N PLEASANT ST, OBERLIN, OH 44074-1124","PUBLIC","Lorain","Northeast","OBERLIN","RED","BLUE",NA,121,"Patriot Athletic Conference","PHOENIX","(A)",-82.2145303,41.2990725
